,disclosure_year,disclosure_date,transaction_date,owner,ticker,asset_description,type,amount,representative,district,cap_gains_over_200_usd
14574,2020,10/13/2020,2020-09-25,joint,GOOG,Alphabet Inc. - Class C Capital Stock,sale_partial,"$1,001 - $15,000",Hon. Josh Gottheimer,NJ05,False
14575,2020,10/13/2020,2020-09-21,joint,GOOG,Alphabet Inc. - Class C Capital Stock,purchase,"$1,001 - $15,000",Hon. Josh Gottheimer,NJ05,False
14761,2020,04/01/2020,2020-02-27,self,GOOGL,Alphabet Inc. - Class A,purchase,"$500,001 - $1,000,000",Hon. Nancy Pelosi,CA12,False
14855,2020,05/07/2020,2020-04-02,,GOOG,Alphabet Inc. - Class C Capital Stock,purchase,"$1,001 - $15,000",Hon. Dean Phillips,MN03,False
15259,2021,07/09/2021,2021-05-11,,GOOGL,Alphabet Inc - Class A,sale_partial,"$1,001 - $15,000",Hon. Dwight Evans,PA03,False
15478,2020,05/13/2020,2020-04-17,joint,GOOG,Alphabet Inc. - Class C Capital Stock,sale_partial,"$1,001 - $15,000",Hon. Josh Gottheimer,NJ05,False
15479,2020,05/13/2020,2020-04-30,joint,GOOG,Alphabet Inc. - Class C Capital Stock,sale_partial,"$1,001 - $15,000",Hon. Josh Gottheimer,NJ05,False
15600,2020,04/15/2020,2020-03-23,joint,GOOGL,Alphabet Inc. - Class A,purchase,"$15,001 - $50,000",Hon. David B. McKinley,WV01,False
15601,2020,04/15/2020,2020-03-09,,GOOGL,Alphabet Inc. - Class A,purchase,"$1,001 - $15,000",Hon. David B. McKinley,WV01,False
15626,2020,06/10/2020,2020-05-22,joint,GOOG,Alphabet Inc. - Class C Capital Stock,sale_partial,"$1,001 - $15,000",Hon. Josh Gottheimer,NJ05,False
15662,2020,06/10/2020,2020-04-22,self,GOOGL,Alphabet Inc. - Class A,sale_full,"$1,001 - $15,000",Hon. Ed Perlmutter,CO07,False
